<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20021007,181.71,181.71,181.71,181.71,7850
VNINDEX,20021008,180.02,180.02,180.02,180.02,7860
VNINDEX,20021009,178.85,178.85,178.85,178.85,11440
VNINDEX,20021010,179.10,179.10,179.10,179.10,12390
VNINDEX,20021011,179.33,179.33,179.33,179.33,3610
VNINDEX,20021014,180.10,180.10,180.10,180.10,5430
VNINDEX,20021015,180.63,180.63,180.63,180.63,12240
VNINDEX,20021016,180.13,180.13,180.13,180.13,5820
VNINDEX,20021017,179.66,179.66,179.66,179.66,8110
VNINDEX,20021018,178.64,178.64,178.64,178.64,11460
VNINDEX,20021021,178.66,178.66,178.66,178.66,6660
VNINDEX,20021022,179.39,179.39,179.39,179.39,9960
VNINDEX,20021023,179.10,179.10,179.10,179.10,7040
VNINDEX,20021024,178.94,178.94,178.94,178.94,9090
VNINDEX,20021025,178.81,178.81,178.81,178.81,6860
VNINDEX,20021028,178.80,178.80,178.80,178.80,8260
VNINDEX,20021029,177.92,177.92,177.92,177.92,10040
VNINDEX,20021030,177.61,177.61,177.61,177.61,5270
VNINDEX,20021031,177.61,177.61,177.61,177.61,5370
VNINDEX,20021101,177.35,177.35,177.35,177.35,7840
VNINDEX,20021104,176.57,176.57,176.57,176.57,5690
VNINDEX,20021105,175.02,175.02,175.02,175.02,5820
VNINDEX,20021106,174.84,174.84,174.84,174.84,3870
VNINDEX,20021107,174.62,174.62,174.62,174.62,8700
VNINDEX,20021108,174.88,174.88,174.88,174.88,3850
VNINDEX,20021111,175.19,175.19,175.19,175.19,4980
VNINDEX,20021112,175.27,175.27,175.27,175.27,5820
VNINDEX,20021113,175.63,175.63,175.63,175.63,6530
VNINDEX,20021114,175.42,175.42,175.42,175.42,8160
VNINDEX,20021115,175.77,175.77,175.77,175.77,7070
VNINDEX,20021118,175.73,175.73,175.73,175.73,7630
VNINDEX,20021119,175.54,175.54,175.54,175.54,6440
VNINDEX,20021120,176.08,176.08,176.08,176.08,4110
VNINDEX,20021121,176.47,176.47,176.47,176.47,8010
VNINDEX,20021122,175.24,175.24,175.24,175.24,5430
VNINDEX,20021125,176.47,176.47,176.47,176.47,5450
VNINDEX,20021126,176.50,176.50,176.50,176.50,8820
VNINDEX,20021127,176.44,176.44,176.44,176.44,3950
VNINDEX,20021128,177.25,177.25,177.25,177.25,7930
VNINDEX,20021129,177.25,177.25,177.25,177.25,1820
VNINDEX,20021202,179.27,179.27,179.27,179.27,6330
VNINDEX,20021203,183.56,183.56,183.56,183.56,7930
VNINDEX,20021204,187.21,187.21,187.21,187.21,2350
VNINDEX,20021205,186.83,186.83,186.83,186.83,23550
VNINDEX,20021206,184.55,184.55,184.55,184.55,13670
VNINDEX,20021209,183.62,183.62,183.62,183.62,12460
VNINDEX,20021210,184.75,184.75,184.75,184.75,7430
VNINDEX,20021211,184.34,184.34,184.34,184.34,10290
VNINDEX,20021212,183.69,183.69,183.69,183.69,6840
VNINDEX,20021213,184.15,184.15,184.15,184.15,4600
VNINDEX,20021216,184.74,184.74,184.74,184.74,7670
VNINDEX,20021217,185.37,185.37,185.37,185.37,6450
VNINDEX,20021218,185.96,185.96,185.96,185.96,14030
VNINDEX,20021219,185.96,185.96,185.96,185.96,12890
VNINDEX,20021220,184.94,184.94,184.94,184.94,11570
VNINDEX,20021223,184.23,184.23,184.23,184.23,7340
VNINDEX,20021224,184.18,184.18,184.18,184.18,9250
VNINDEX,20021225,184.14,184.14,184.14,184.14,112900
VNINDEX,20021226,183.78,183.78,183.78,183.78,9040
VNINDEX,20021227,183.05,183.05,183.05,183.05,5070
VNINDEX,20021230,182.65,182.65,182.65,182.65,5470
VNINDEX,20021231,183.33,183.33,183.33,183.33,6590
VNINDEX,20030102,183.41,183.41,183.41,183.41,3030
VNINDEX,20030103,182.39,182.39,182.39,182.39,4810
